#filetype=fc_ob_pairs
#mode=aod
#fieldpair_label=nolabel
#fieldpair_title=
#fieldpair_units=
#ob_field_used=AOT-675nm
#fc_field_used=aod675
#ob_source=aeronet_1.5
#ob_wavelength=675
#fc_wavelength=675
#fc_expid=mc0074
#fc_composite=
#fc_startdate=2020-10-01 00:00:00
#fc_enddate=2020-10-31 00:00:00
#fc_start_hrs=00
#fc_ranges=3,6,9,12,15,18,21,24
#fc_range_premeaning_bins=n/a
#fc_ranges_postaverage=3,6,9,12,15,18,21,24
#fc_startdate_actual=2020-10-01 00:00:00
#fc_enddate_actual=2020-10-31 00:00:00
#fc_start_hrs_actual=00
#fc_ranges_actual=3,6,9,12,15,18,21,24
#fc_dayskip=0
#fc_refdate=n/a
#fc_ranges_remapped=0
#premeaning_period=0
#sites=<ALL_WITH_DATA>
#sites_actual=ARM_Graciosa,ARM_SGP,ASI_Malindi,Adelaide_Site_7,AgiaMarina_Xyliatou,Alta_Floresta,Amazon_ATTO_Tower,American_Samoa,Ames,Amity_Univ_Gurgaon,Amsterdam_Island,Andenes,Anmyon,Antikythera_NOA,Appalachian_State,Aras_de_los_Olmos,Arcachon,Aubiere_LAMP,BMKG_Jakarta,BONDVILLE,Bakersfield,Bandung,Bangkok,Banizoumbou,Barcelona,Bayfordbury,Beijing,Beijing-CAMS,Belsk,Berlin_FUB,Bhola,Bidur,Billerica,Birkenes,Bonanza_Creek,Bozeman,Brookhaven,Brussels,Bukit_Kototabang,Bure_OPE,Burjassot,CARTEL,CATUC_Bamenda,CCNY,CEILAP-BA,CEILAP-Comodoro,CEILAP-Neuquen,CLUJ_UBB,CUIABA-MIRANDA,CUT-TEPAK,Cabauw,Cabo_da_Roca,Cachoeira_Paulista,CalTech,Campus_USACH,Cape_Fuguei_Station,Cape_San_Juan,Capo_Verde,Cascade_Airport,Catalina,Chapais,Chiang_Mai_Met_Sta,Chiba_University,Chilbolton,Churchill,Coruna,Croisic_UTLN,DRAGON_Hakuba,DRAGON_Iida,DRAGON_Ina,DRAGON_Kofu,DRAGON_Matsumoto,DRAGON_Minowa,DRAGON_Mt_Krigamine,DRAGON_Omachi,DRAGON_Suwa,DRAGON_Takayama,Dakar_Belair,Dalanzadgad,Davos,Dayton,Debrzyna_PULS,Denver_LaCasa,Dhaka_University,Dibrugarh_Univ,Doi_Ang_Khang,Douliu,Dunkerque,Durban_UKZN,Dushanbe,EPA-NCU,EPA-Res_Triangle_Pk,ETNA_VENA,EastMalling_MO,Egbert,El_Arenosillo,Erlin,Ersa,Evora,FZJ-JOYCE,Finokalia-FKL,Fort_McMurray,Fresno_2,Fukue,Fukuoka,GSFC,Gandhi_College,Gangneung_WNU,Georgia_Tech,Glasgow_MO,Gobabeb,Goldstone,Gosan_NIMS_SNU,Gozo,Granada,Grand_Forks,Granite_Island,Guadeloup,HESS,Halifax,Hampton_University,Hankuk_UFS,Helsinki,HohenpeissenbergDWD,Hong_Kong_PolyU,Hong_Kong_Sheung,Huancayo-IGP,Hyytiala,IASBS,IER_Cinzana,IMPROVE-MammothCave,Ilorin,Iqaluit,Irkutsk,Itajuba,Ittoqqortoormiit,Izana,Ji_Parana_SE,KAUST_Campus,Kangerlussuaq,Kanpur,Kanzelhohe_Obs,Kaohsiung,Karachi,Karlsruhe,Kellogg_LTER,Kluane_Lake,Koforidua_ANUC,Kuching,Kuopio,Kupang,Kuwait_University,Kyiv,Kyiv-AO,LAMTO-STATION,La_Jolla,La_Laguna,La_Parguera,La_Paz,Lahore,Lamezia_Terme,Lampedusa,Lecce_University,Leipzig,Lerwick_MO,Lille,Los_Alamos,Luang_Namtha,Lubango,Lulin,MAXAR_FUTON,MCO-Hanimaadhoo,MD_Science_Center,Madrid,Magurele_Inoe,Maido_OPAR,Majadas,Makassar,Maldives_Gan,Mandalay_MTU,Matorova_FMI,Maun_Tower,Medellin,Merida_MEDA,MetObs_Lindenberg,Metsi,Mezaira,Migal,Mingo,Minsk,Misamfu,Missoula,Modena,Modesto,Mongu_Inn,Monterey,Montevideo_FING,Montsec,Mount_Chacaltaya,Mount_Wilson,Munich_University,Murcia,NASA_Ames,NASA_KSC,NASA_LaRC,ND_Marbel_Univ,NEON-CPER,NEON-Disney,NEON_BONA,NEON_Bartlett,NEON_CLBJ,NEON_CVALLA,NEON_DEJU,NEON_GRSM,NEON_GUAN,NEON_HEAL,NEON_Harvard,NEON_KONZ,NEON_LENO,NEON_MLBS,NEON_MOAB,NEON_NIWO,NEON_NOGP,NEON_OAES,NEON_ONAQ,NEON_ORNL,NEON_OSBS,NEON_PUUM,NEON_RMNP,NEON_SCBI,NEON_SERC,NEON_SJER,NEON_SRER,NEON_Sterling,NEON_TALL,NEON_TEAK,NEON_TOOL,NEON_UKFS,NEON_UNDE,NEON_WOOD,NEON_WREF,NEON_YELL,NSPO_Taiwan,Napoli_CeSMA,Narsarsuaq,Niassa,Nicosia,Niigata,Nong_Khai,Noto,OHP_OBSERVATOIRE,Osaka,PNNL,Palaiseau,Palangkaraya,Palencia,Palma_de_Mallorca,Paris,Payerne,Pickle_Lake,Pilar_Cordoba,Pinehurst_Idaho,Pokhara,Poprad-Ganovce,Potchefstroom,Pretoria_CSIR-EC,Pune,Punta_Arenas_UMAG,QOMS_CAS,Quito_USFQ,REUNION_ST_DENIS,Ragged_Point,Railroad_Valley,Railroad_Valley2,Rame_Head,Red_Mountain_Pass,Rexburg_Idaho,Rimrock,Rio_Branco,Rome_La_Sapienza,Roque_Muchachos,SANTA_CRUZ_UTEPSA,SEDE_BOKER,SERC,SP-EACH,SP_Bayboro,Saada,Sakeji_School,Salton_Sea,San_Cristobal_USFQ,Santa_Cruz_Tenerife,Santa_Monica_Colg,Santiago_Beauchef,Santiago_Beauchef_2,Sao_Paulo,Saturn_Island,Seoul_SNU,Sevilleta,Shirahama,Silpakorn_Univ,Simonstown_IMT,Singapore,Sioux_Falls,Skukuza,Sofia_IEBAS,Songkhla_Met_Sta,Sorong,Sra_Kaeo,St_Louis_University,Stornoway_MO,Strzyzow,Tabernas_PSA-DLR,Tallahassee,Tamanrasset_INM,Taylor_Ranch_TWRS,Teide,Tel-Aviv_University,Timisoara,Toravere,Toronto,Toulon,Toulouse_MF,Trelew,Tucson,Tudor_Hill,Tumbarumba,UCSB,UEM_Maputo,UPC-GEAB-Valledupar,USDA_ALARC,USGS_Flagstaff_ROLO,U_of_Wisconsin_SSEC,Ubon_Ratchathani,Univ_of_Auckland,Univ_of_Houston,Univ_of_Lethbridge,Univ_of_Nevada-Reno,Upington,Valladolid,Vienna_BOKU,Vienna_UNIVIE,VirginiaTech,Warsaw_UW,Watnall_MO,Weizmann_Institute,White_Sands_HELSTF,Windpoort,XiangHe,Xitun,Yakutsk,Yonsei_University,Yuma,Zaragoza,Zinder_Airport,Zugspitze_KIT
#nsites_actual=355
#area_shortname=global
#area_title=Global
#area=-90,-180,90,180
#missing_data_indicator=-9999
#source_dir=/home/na/nal/ver0D/9.5.2
#site_weighting=none
#voronoi_maxr=n/a
#column_titles=validity_time,forecast_range,site_id,lat,lon,fc,ob
20201001 03:00,3.00000,American_Samoa,-14.24720,-170.5644,0.16879323,0.10831784
20201001 03:00,3.00000,Amsterdam_Island,-37.81000,77.57333,0.064839951,0.048197768
20201001 03:00,3.00000,Anmyon,36.53854,126.3302,0.24285436,0.24860679
20201001 03:00,3.00000,Bandung,-6.888417,107.6100,0.24860749,0.14482102
20201001 03:00,3.00000,Bangkok,13.74910,100.5177,0.22678974,0.068617001
20201001 03:00,3.00000,Beijing,39.97689,116.3814,0.42738501,0.38994628
20201001 03:00,3.00000,Beijing-CAMS,39.93333,116.3167,0.40860125,0.47352217
20201001 03:00,3.00000,Bidur,27.89550,85.14010,0.14911418,0.52420843
20201001 03:00,3.00000,Chiang_Mai_Met_Sta,18.77113,98.97247,0.13014142,0.096711822
20201001 03:00,3.00000,DRAGON_Matsumoto,36.25149,137.9778,0.077448830,0.18855764
20201001 03:00,3.00000,DRAGON_Takayama,36.25270,137.3045,0.055536290,0.23917647
20201001 03:00,3.00000,Dhaka_University,23.72839,90.39819,0.096657002,0.29160257
20201001 03:00,3.00000,Dushanbe,38.55326,68.85791,0.091695172,0.094440953
20201001 03:00,3.00000,Fukue,32.75200,128.6820,0.11457307,0.12373978
20201001 03:00,3.00000,Fukuoka,33.52400,130.4750,0.12046663,0.13108037
20201001 03:00,3.00000,Gandhi_College,25.87100,84.12794,0.57091730,0.53075469
20201001 03:00,3.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.24414916,0.23839360
20201001 03:00,3.00000,Hankuk_UFS,37.33883,127.2658,0.45908869,0.36600242
20201001 03:00,3.00000,Hong_Kong_Sheung,22.48330,114.1166,0.32011805,0.14063765
20201001 03:00,3.00000,Kanpur,26.51278,80.23164,0.34221037,0.31962135
20201001 03:00,3.00000,Karachi,24.87000,67.03000,0.45407758,0.41746527
20201001 03:00,3.00000,Kuching,1.490556,110.3486,0.077299473,0.085424233
20201001 03:00,3.00000,Kupang,-10.13918,123.6671,0.13121140,0.13673060
20201001 03:00,3.00000,Lahore,31.54249,74.32475,0.36868269,0.54299447
20201001 03:00,3.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.19691813,0.13140301
20201001 03:00,3.00000,Maido_OPAR,-21.07985,55.38309,0.16684863,0.15045581
20201001 03:00,3.00000,Makassar,-4.997680,119.5723,0.18285348,0.18852023
20201001 03:00,3.00000,Mezaira,23.14500,53.77861,0.19258774,0.15199903
20201001 03:00,3.00000,ND_Marbel_Univ,6.496011,124.8425,0.16479485,0.065011288
20201001 03:00,3.00000,NSPO_Taiwan,24.78399,121.0011,0.13778292,0.16128266
20201001 03:00,3.00000,Nong_Khai,17.87720,102.7167,0.11330982,0.19445609
20201001 03:00,3.00000,Noto,37.33444,137.1369,0.17904470,0.091509079
20201001 03:00,3.00000,Osaka,34.65093,135.5906,0.084948570,0.097894793
20201001 03:00,3.00000,Palangkaraya,-2.227990,113.9462,0.085397581,0.12628738
20201001 03:00,3.00000,Pokhara,28.15082,83.97147,0.17183971,0.61269323
20201001 03:00,3.00000,REUNION_ST_DENIS,-20.88333,55.48333,0.16195816,0.23362588
20201001 03:00,3.00000,Silpakorn_Univ,13.81931,100.0412,0.091482398,0.056387000
20201001 03:00,3.00000,Sra_Kaeo,13.68890,102.5043,0.16851606,0.56006823
20201001 03:00,3.00000,Tumbarumba,-35.70830,147.9499,0.10504599,0.059643174
20201001 03:00,3.00000,Univ_of_Auckland,-36.85262,174.7681,0.076159062,0.065453000
20201001 03:00,3.00000,Xitun,24.16220,120.6169,0.29759409,0.23128575
20201001 06:00,6.00000,ASI_Malindi,-2.996000,40.19450,0.14351802,0.12970300
20201001 06:00,6.00000,AgiaMarina_Xyliatou,35.03800,33.05770,0.080082997,0.041754293
20201001 06:00,6.00000,Amsterdam_Island,-37.81000,77.57333,0.062912340,0.069605842
20201001 06:00,6.00000,Anmyon,36.53854,126.3302,0.19972224,0.15747273
20201001 06:00,6.00000,Antikythera_NOA,35.86099,23.30982,0.094196675,0.068508849
20201001 06:00,6.00000,Aras_de_los_Olmos,39.94500,-1.101600,0.19635272,0.34928521
20201001 06:00,6.00000,BMKG_Jakarta,-6.155239,106.8412,0.53422981,0.12152767
20201001 06:00,6.00000,Bandung,-6.888417,107.6100,0.27177207,0.17007000
20201001 06:00,6.00000,Bangkok,13.74910,100.5177,0.29675301,0.051595501
20201001 06:00,6.00000,Banizoumbou,13.54117,2.664750,0.15958514,0.079148556
20201001 06:00,6.00000,Beijing,39.97689,116.3814,0.38877676,0.40795340
20201001 06:00,6.00000,Beijing-CAMS,39.93333,116.3167,0.37134249,0.44087931
20201001 06:00,6.00000,Bhola,22.16667,90.75000,0.058944417,0.063252180
20201001 06:00,6.00000,Bidur,27.89550,85.14010,0.20915998,0.48177139
20201001 06:00,6.00000,Burjassot,39.50800,-0.4180000,0.16858799,0.16709382
20201001 06:00,6.00000,CUT-TEPAK,34.67480,33.04275,0.088483322,0.081244256
20201001 06:00,6.00000,Chiang_Mai_Met_Sta,18.77113,98.97247,0.12263152,0.12452573
20201001 06:00,6.00000,Chilbolton,51.14446,-1.436980,0.082947847,0.051180322
20201001 06:00,6.00000,Croisic_UTLN,47.29361,-2.513400,0.076301391,0.051601430
20201001 06:00,6.00000,DRAGON_Hakuba,36.70066,137.8641,0.069371802,0.083814003
20201001 06:00,6.00000,DRAGON_Matsumoto,36.25149,137.9778,0.072258632,0.13978290
20201001 06:00,6.00000,DRAGON_Mt_Krigamine,36.09806,138.1683,0.077301731,0.099073481
20201001 06:00,6.00000,DRAGON_Omachi,36.50300,137.8514,0.069430282,0.095237316
20201001 06:00,6.00000,DRAGON_Takayama,36.25270,137.3045,0.072447786,0.18445805
20201001 06:00,6.00000,Davos,46.81292,9.843800,0.097599817,0.13782573
20201001 06:00,6.00000,Dushanbe,38.55326,68.85791,0.086280073,0.10963526
20201001 06:00,6.00000,EPA-NCU,24.96753,121.1855,0.14596681,0.11045371
20201001 06:00,6.00000,Ersa,43.00367,9.359289,0.11224334,0.072289227
20201001 06:00,6.00000,Finokalia-FKL,35.33771,25.66976,0.10479511,0.10225542
20201001 06:00,6.00000,Fukue,32.75200,128.6820,0.13229947,0.10548173
20201001 06:00,6.00000,Fukuoka,33.52400,130.4750,0.10255613,0.14473787
20201001 06:00,6.00000,Gobabeb,-23.56162,15.04106,0.10075841,0.13854624
20201001 06:00,6.00000,Gozo,36.03414,14.26469,0.23140355,0.18373047
20201001 06:00,6.00000,HESS,-23.27300,16.50294,0.059476238,0.031912237
20201001 06:00,6.00000,HohenpeissenbergDWD,47.80190,11.01190,0.13027458,0.081642871
20201001 06:00,6.00000,Hong_Kong_Sheung,22.48330,114.1166,0.45408030,0.14831282
20201001 06:00,6.00000,KAUST_Campus,22.30483,39.10283,0.55457267,0.54182047
20201001 06:00,6.00000,Kanpur,26.51278,80.23164,0.36248891,0.32282590
20201001 06:00,6.00000,Kanzelhohe_Obs,46.67800,13.90700,0.074482543,0.063532414
20201001 06:00,6.00000,Karachi,24.87000,67.03000,0.46023301,0.46157434
20201001 06:00,6.00000,Karlsruhe,49.09330,8.427900,0.12395119,0.69272500
20201001 06:00,6.00000,Kuching,1.490556,110.3486,0.093216322,0.10629362
20201001 06:00,6.00000,Kupang,-10.13918,123.6671,0.13453337,0.19041989
20201001 06:00,6.00000,Kuwait_University,29.32500,47.97100,0.36327552,0.37511504
20201001 06:00,6.00000,Lahore,31.54249,74.32475,0.40100427,0.88273094
20201001 06:00,6.00000,Lamezia_Terme,38.87640,16.23210,0.10777722,0.098982345
20201001 06:00,6.00000,Lampedusa,35.51667,12.63167,0.41903983,0.27794465
20201001 06:00,6.00000,Lecce_University,40.33511,18.11139,0.11061310,0.099649003
20201001 06:00,6.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.18334845,0.15012636
20201001 06:00,6.00000,Madrid,40.45190,-3.723950,0.20365246,0.11988754
20201001 06:00,6.00000,Maido_OPAR,-21.07985,55.38309,0.14776452,0.12462800
20201001 06:00,6.00000,Makassar,-4.997680,119.5723,0.29898152,0.13379672
20201001 06:00,6.00000,Mandalay_MTU,21.97290,96.18613,0.10400444,0.10029668
20201001 06:00,6.00000,Maun_Tower,-19.90000,23.55000,0.69972590,0.69283331
20201001 06:00,6.00000,Mezaira,23.14500,53.77861,0.18331775,0.16545611
20201001 06:00,6.00000,Migal,33.23639,35.57828,0.17166995,0.22902517
20201001 06:00,6.00000,Misamfu,-10.17120,31.22410,0.11568975,0.28363815
20201001 06:00,6.00000,Modena,44.63167,10.94528,0.16603465,0.14411700
20201001 06:00,6.00000,Montsec,42.05142,0.7296890,0.19150139,0.14237485
20201001 06:00,6.00000,Munich_University,48.14800,11.57300,0.11783892,0.094878355
20201001 06:00,6.00000,Murcia,38.00100,-1.170700,0.12535022,0.10520782
20201001 06:00,6.00000,ND_Marbel_Univ,6.496011,124.8425,0.18670303,0.064657560
20201001 06:00,6.00000,NSPO_Taiwan,24.78399,121.0011,0.13379284,0.097193603
20201001 06:00,6.00000,Nicosia,35.14063,33.38135,0.089326915,0.053115609
20201001 06:00,6.00000,Niigata,37.84600,138.9420,0.16913116,0.11558671
20201001 06:00,6.00000,Nong_Khai,17.87720,102.7167,0.12091683,0.15175842
20201001 06:00,6.00000,Noto,37.33444,137.1369,0.16895049,0.094234951
20201001 06:00,6.00000,OHP_OBSERVATOIRE,43.93500,5.710000,0.15809533,0.30199696
20201001 06:00,6.00000,Osaka,34.65093,135.5906,0.10402001,0.095195665
20201001 06:00,6.00000,Palangkaraya,-2.227990,113.9462,0.10571141,0.11888617
20201001 06:00,6.00000,REUNION_ST_DENIS,-20.88333,55.48333,0.15120638,0.27257459
20201001 06:00,6.00000,Rome_La_Sapienza,41.90170,12.51577,0.14077931,0.097392742
20201001 06:00,6.00000,SEDE_BOKER,30.85500,34.78222,0.22956530,0.21337210
20201001 06:00,6.00000,Sakeji_School,-11.23296,24.31200,0.34465999,0.42383629
20201001 06:00,6.00000,Seoul_SNU,37.45806,126.9511,0.40201277,0.47890689
20201001 06:00,6.00000,Silpakorn_Univ,13.81931,100.0412,0.088466572,0.034534780
20201001 06:00,6.00000,Songkhla_Met_Sta,7.184387,100.6046,0.094287117,0.19841900
20201001 06:00,6.00000,Sra_Kaeo,13.68890,102.5043,0.17334433,0.68525011
20201001 06:00,6.00000,Tabernas_PSA-DLR,37.09076,-2.358180,0.11604943,0.086791446
20201001 06:00,6.00000,Tamanrasset_INM,22.79000,5.530000,0.18739175,0.17261714
20201001 06:00,6.00000,Tel-Aviv_University,32.11290,34.80620,0.21599616,0.25220066
20201001 06:00,6.00000,Tumbarumba,-35.70830,147.9499,0.13444970,0.10236322
20201001 06:00,6.00000,Upington,-28.37900,21.15600,0.050754811,0.054535048
20201001 06:00,6.00000,Weizmann_Institute,31.90723,34.81053,0.21389155,0.25094395
20201001 06:00,6.00000,Xitun,24.16220,120.6169,0.22289080,0.15752863
20201001 06:00,6.00000,Zaragoza,41.63340,-0.8823500,0.20747595,0.15698202
20201001 06:00,6.00000,Zinder_Airport,13.77668,8.990233,0.20712474,0.20698839
20201001 06:00,6.00000,Zugspitze_KIT,47.42100,10.98600,0.11442757,0.066371703
20201001 09:00,9.00000,ASI_Malindi,-2.996000,40.19450,0.099648171,0.11084451
20201001 09:00,9.00000,AgiaMarina_Xyliatou,35.03800,33.05770,0.082678891,0.050088686
20201001 09:00,9.00000,Anmyon,36.53854,126.3302,0.17760979,0.13994690
20201001 09:00,9.00000,Antikythera_NOA,35.86099,23.30982,0.10351275,0.066494616
20201001 09:00,9.00000,Aras_de_los_Olmos,39.94500,-1.101600,0.19129697,0.42891249
20201001 09:00,9.00000,Arcachon,44.66353,-1.163222,0.088257467,0.17124701
20201001 09:00,9.00000,BMKG_Jakarta,-6.155239,106.8412,0.31886989,0.13866814
20201001 09:00,9.00000,Bandung,-6.888417,107.6100,0.26814488,0.095865029
20201001 09:00,9.00000,Banizoumbou,13.54117,2.664750,0.12608180,0.065686285
20201001 09:00,9.00000,Barcelona,41.38567,2.116970,0.20738905,0.21366686
20201001 09:00,9.00000,Beijing,39.97689,116.3814,0.48142145,0.43812355
