#filetype=fc_ob_pairs
#mode=aod
#fieldpair_label=nolabel
#fieldpair_title=
#fieldpair_units=
#ob_field_used=AOT-500nm
#fc_field_used=aod500
#ob_source=aeronet_1.5
#ob_wavelength=500
#fc_wavelength=500
#fc_expid=oper
#fc_composite=
#fc_startdate=2020-10-01 00:00:00
#fc_enddate=2020-10-31 00:00:00
#fc_start_hrs=00
#fc_ranges=3,6,9,12,15,18,21,24
#fc_range_premeaning_bins=n/a
#fc_ranges_postaverage=3,6,9,12,15,18,21,24
#fc_startdate_actual=2020-10-01 00:00:00
#fc_enddate_actual=2020-10-31 00:00:00
#fc_start_hrs_actual=00
#fc_ranges_actual=3,6,9,12,15,18,21,24
#fc_dayskip=0
#fc_refdate=n/a
#fc_ranges_remapped=0
#premeaning_period=0
#sites=<ALL_WITH_DATA>
#sites_actual=ARM_Graciosa,ARM_SGP,ASI_Malindi,Adelaide_Site_7,AgiaMarina_Xyliatou,Alta_Floresta,Amazon_ATTO_Tower,American_Samoa,Ames,Amity_Univ_Gurgaon,Amsterdam_Island,Andenes,Anmyon,Antikythera_NOA,Appalachian_State,Aras_de_los_Olmos,Arcachon,Aubiere_LAMP,BMKG_Jakarta,BONDVILLE,Bakersfield,Bandung,Bangkok,Bayfordbury,Beijing,Beijing-CAMS,Belsk,Berlin_FUB,Bhola,Bidur,Billerica,Birkenes,Bonanza_Creek,Bozeman,Brookhaven,Brussels,Bukit_Kototabang,Bure_OPE,Burjassot,CARTEL,CATUC_Bamenda,CCNY,CEILAP-BA,CEILAP-Comodoro,CEILAP-Neuquen,CLUJ_UBB,CUIABA-MIRANDA,CUT-TEPAK,Cabauw,Cabo_da_Roca,Cachoeira_Paulista,CalTech,Campus_USACH,Cape_Fuguei_Station,Cape_San_Juan,Capo_Verde,Cascade_Airport,Catalina,Chapais,Chiang_Mai_Met_Sta,Chiba_University,Chilbolton,Churchill,Coruna,Croisic_UTLN,DRAGON_Hakuba,DRAGON_Iida,DRAGON_Ina,DRAGON_Kofu,DRAGON_Matsumoto,DRAGON_Minowa,DRAGON_Mt_Krigamine,DRAGON_Omachi,DRAGON_Suwa,DRAGON_Takayama,Dakar_Belair,Dalanzadgad,Davos,Dayton,Debrzyna_PULS,Denver_LaCasa,Dhaka_University,Dibrugarh_Univ,Doi_Ang_Khang,Douliu,Dunkerque,Durban_UKZN,Dushanbe,EPA-NCU,EPA-Res_Triangle_Pk,ETNA_VENA,EastMalling_MO,Egbert,El_Arenosillo,Erlin,Ersa,Evora,FZJ-JOYCE,Finokalia-FKL,Fort_McMurray,Fresno_2,Fukue,Fukuoka,GSFC,Gandhi_College,Gangneung_WNU,Georgia_Tech,Glasgow_MO,Gobabeb,Goldstone,Gosan_NIMS_SNU,Gozo,Granada,Grand_Forks,Granite_Island,Guadeloup,HESS,Halifax,Hampton_University,Hankuk_UFS,Helsinki,HohenpeissenbergDWD,Hong_Kong_PolyU,Hong_Kong_Sheung,Huancayo-IGP,Hyytiala,IMPROVE-MammothCave,Ilorin,Iqaluit,Irkutsk,Itajuba,Ittoqqortoormiit,Izana,Ji_Parana_SE,KAUST_Campus,Kangerlussuaq,Kanpur,Kanzelhohe_Obs,Kaohsiung,Karachi,Karlsruhe,Kellogg_LTER,Kluane_Lake,Koforidua_ANUC,Kuching,Kuopio,Kupang,Kuwait_University,Kyiv,La_Jolla,La_Laguna,La_Parguera,La_Paz,Lahore,Lamezia_Terme,Lampedusa,Lecce_University,Leipzig,Lerwick_MO,Lille,Los_Alamos,Luang_Namtha,Lubango,Lulin,MAXAR_FUTON,MCO-Hanimaadhoo,MD_Science_Center,Madrid,Magurele_Inoe,Maido_OPAR,Majadas,Makassar,Maldives_Gan,Mandalay_MTU,Matorova_FMI,Maun_Tower,Medellin,Merida_MEDA,MetObs_Lindenberg,Metsi,Mezaira,Migal,Mingo,Minsk,Misamfu,Missoula,Modena,Modesto,Mongu_Inn,Monterey,Montevideo_FING,Montsec,Mount_Chacaltaya,Mount_Wilson,Munich_University,Murcia,NASA_Ames,NASA_KSC,NASA_LaRC,ND_Marbel_Univ,NEON-CPER,NEON-Disney,NEON_BONA,NEON_Bartlett,NEON_CLBJ,NEON_CVALLA,NEON_DEJU,NEON_GRSM,NEON_GUAN,NEON_HEAL,NEON_Harvard,NEON_KONZ,NEON_LENO,NEON_MLBS,NEON_MOAB,NEON_NIWO,NEON_NOGP,NEON_OAES,NEON_ONAQ,NEON_ORNL,NEON_OSBS,NEON_PUUM,NEON_RMNP,NEON_SCBI,NEON_SERC,NEON_SJER,NEON_SRER,NEON_Sterling,NEON_TALL,NEON_TEAK,NEON_TOOL,NEON_UKFS,NEON_UNDE,NEON_WOOD,NEON_WREF,NEON_YELL,NSPO_Taiwan,Napoli_CeSMA,Narsarsuaq,Niassa,Nicosia,Niigata,Nong_Khai,Noto,OHP_OBSERVATOIRE,Osaka,PNNL,Palaiseau,Palangkaraya,Palencia,Palma_de_Mallorca,Paris,Payerne,Pickle_Lake,Pilar_Cordoba,Pinehurst_Idaho,Pokhara,Poprad-Ganovce,Potchefstroom,Pretoria_CSIR-EC,Punta_Arenas_UMAG,QOMS_CAS,Quito_USFQ,REUNION_ST_DENIS,Ragged_Point,Railroad_Valley,Railroad_Valley2,Rame_Head,Red_Mountain_Pass,Rexburg_Idaho,Rimrock,Rio_Branco,Rome_La_Sapienza,Roque_Muchachos,SANTA_CRUZ_UTEPSA,SEDE_BOKER,SERC,SP-EACH,SP_Bayboro,Saada,Sakeji_School,Salton_Sea,San_Cristobal_USFQ,Santa_Cruz_Tenerife,Santa_Monica_Colg,Santiago_Beauchef,Santiago_Beauchef_2,Sao_Paulo,Saturn_Island,Seoul_SNU,Sevilleta,Shirahama,Silpakorn_Univ,Simonstown_IMT,Singapore,Sioux_Falls,Skukuza,Sofia_IEBAS,Songkhla_Met_Sta,Sorong,Sra_Kaeo,St_Louis_University,Stornoway_MO,Strzyzow,Tabernas_PSA-DLR,Tallahassee,Tamanrasset_INM,Taylor_Ranch_TWRS,Teide,Tel-Aviv_University,Timisoara,Toravere,Toronto,Toulon,Toulouse_MF,Trelew,Tucson,Tudor_Hill,Tumbarumba,UCSB,UEM_Maputo,UPC-GEAB-Valledupar,USDA_ALARC,USGS_Flagstaff_ROLO,U_of_Wisconsin_SSEC,Ubon_Ratchathani,Univ_of_Auckland,Univ_of_Houston,Univ_of_Lethbridge,Univ_of_Nevada-Reno,Upington,Valladolid,Vienna_BOKU,Vienna_UNIVIE,VirginiaTech,Warsaw_UW,Watnall_MO,Weizmann_Institute,White_Sands_HELSTF,Windpoort,XiangHe,Xitun,Yakutsk,Yonsei_University,Yuma,Zaragoza,Zugspitze_KIT
#nsites_actual=347
#area_shortname=global
#area_title=Global
#area=-90,-180,90,180
#missing_data_indicator=-9999
#source_dir=/home/na/nal/ver0D/9.5.2
#site_weighting=none
#voronoi_maxr=n/a
#column_titles=validity_time,forecast_range,site_id,lat,lon,fc,ob
20201001 03:00,3.00000,American_Samoa,-14.24720,-170.5644,0.16912174,0.12612236
20201001 03:00,3.00000,Amsterdam_Island,-37.81000,77.57333,0.085473403,0.065187926
20201001 03:00,3.00000,Anmyon,36.53854,126.3302,0.29361472,0.32903804
20201001 03:00,3.00000,Bandung,-6.888417,107.6100,0.34862024,0.22060930
20201001 03:00,3.00000,Bangkok,13.74910,100.5177,0.26205251,0.095257998
20201001 03:00,3.00000,Beijing,39.97689,116.3814,0.62753457,0.53153255
20201001 03:00,3.00000,Beijing-CAMS,39.93333,116.3167,0.59961993,0.62039146
20201001 03:00,3.00000,Bidur,27.89550,85.14010,0.35938999,0.76313424
20201001 03:00,3.00000,Chiang_Mai_Met_Sta,18.77113,98.97247,0.17198445,0.086625510
20201001 03:00,3.00000,DRAGON_Matsumoto,36.25149,137.9778,0.12134711,0.27880119
20201001 03:00,3.00000,DRAGON_Takayama,36.25270,137.3045,0.075969934,0.28436637
20201001 03:00,3.00000,Dhaka_University,23.72839,90.39819,0.47374567,0.41529224
20201001 03:00,3.00000,Dushanbe,38.55326,68.85791,0.095327653,0.15243138
20201001 03:00,3.00000,Fukue,32.75200,128.6820,0.17554508,0.16312746
20201001 03:00,3.00000,Fukuoka,33.52400,130.4750,0.17959011,0.18200714
20201001 03:00,3.00000,Gandhi_College,25.87100,84.12794,0.81943309,0.78339755
20201001 03:00,3.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.40323439,0.35195173
20201001 03:00,3.00000,Hankuk_UFS,37.33883,127.2658,0.51159483,0.51883089
20201001 03:00,3.00000,Hong_Kong_Sheung,22.48330,114.1166,0.41151589,0.21640356
20201001 03:00,3.00000,Kanpur,26.51278,80.23164,0.54951859,0.44209497
20201001 03:00,3.00000,Karachi,24.87000,67.03000,0.63989502,0.53609871
20201001 03:00,3.00000,Kuching,1.490556,110.3486,0.14877999,0.13092858
20201001 03:00,3.00000,Kupang,-10.13918,123.6671,0.17437166,0.17709522
20201001 03:00,3.00000,Lahore,31.54249,74.32475,0.57055593,0.72017211
20201001 03:00,3.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.24603896,0.17108408
20201001 03:00,3.00000,Maido_OPAR,-21.07985,55.38309,0.26562148,0.25527181
20201001 03:00,3.00000,Makassar,-4.997680,119.5723,0.24807794,0.21634468
20201001 03:00,3.00000,Mezaira,23.14500,53.77861,0.27056903,0.20585024
20201001 03:00,3.00000,ND_Marbel_Univ,6.496011,124.8425,0.26517126,0.11488149
20201001 03:00,3.00000,NSPO_Taiwan,24.78399,121.0011,0.15248260,0.22593827
20201001 03:00,3.00000,Nong_Khai,17.87720,102.7167,0.19179890,0.25919419
20201001 03:00,3.00000,Noto,37.33444,137.1369,0.24824651,0.14467011
20201001 03:00,3.00000,Osaka,34.65093,135.5906,0.12424826,0.15811175
20201001 03:00,3.00000,Palangkaraya,-2.227990,113.9462,0.22530989,0.16795415
20201001 03:00,3.00000,Pokhara,28.15082,83.97147,0.37126076,0.75215701
20201001 03:00,3.00000,REUNION_ST_DENIS,-20.88333,55.48333,0.26281065,0.36269312
20201001 03:00,3.00000,Silpakorn_Univ,13.81931,100.0412,0.12538111,0.077844001
20201001 03:00,3.00000,Sra_Kaeo,13.68890,102.5043,0.18751492,0.60493832
20201001 03:00,3.00000,Tumbarumba,-35.70830,147.9499,0.13048780,0.079367045
20201001 03:00,3.00000,Univ_of_Auckland,-36.85262,174.7681,0.10822035,0.098964997
20201001 03:00,3.00000,Xitun,24.16220,120.6169,0.32302973,0.35327323
20201001 06:00,6.00000,ASI_Malindi,-2.996000,40.19450,0.20473169,0.19332708
20201001 06:00,6.00000,AgiaMarina_Xyliatou,35.03800,33.05770,0.13590468,0.060500553
20201001 06:00,6.00000,Amsterdam_Island,-37.81000,77.57333,0.083491094,0.089984549
20201001 06:00,6.00000,Anmyon,36.53854,126.3302,0.22716324,0.20726157
20201001 06:00,6.00000,Antikythera_NOA,35.86099,23.30982,0.15152885,0.10407567
20201001 06:00,6.00000,Aras_de_los_Olmos,39.94500,-1.101600,0.22313106,0.46912354
20201001 06:00,6.00000,BMKG_Jakarta,-6.155239,106.8412,0.75841624,0.20241535
20201001 06:00,6.00000,Bandung,-6.888417,107.6100,0.46480063,0.28168580
20201001 06:00,6.00000,Bangkok,13.74910,100.5177,0.44232404,0.080569501
20201001 06:00,6.00000,Beijing,39.97689,116.3814,0.63203657,0.55532971
20201001 06:00,6.00000,Beijing-CAMS,39.93333,116.3167,0.61047453,0.60464474
20201001 06:00,6.00000,Bhola,22.16667,90.75000,0.23507108,0.097380126
20201001 06:00,6.00000,Bidur,27.89550,85.14010,0.38747767,0.71102621
20201001 06:00,6.00000,Burjassot,39.50800,-0.4180000,0.21232304,0.27255474
20201001 06:00,6.00000,CUT-TEPAK,34.67480,33.04275,0.16889951,0.10001751
20201001 06:00,6.00000,Chiang_Mai_Met_Sta,18.77113,98.97247,0.22402637,0.11835642
20201001 06:00,6.00000,Chilbolton,51.14446,-1.436980,0.087883912,0.070177040
20201001 06:00,6.00000,Croisic_UTLN,47.29361,-2.513400,0.072756834,0.070387866
20201001 06:00,6.00000,DRAGON_Hakuba,36.70066,137.8641,0.087694071,0.12882900
20201001 06:00,6.00000,DRAGON_Matsumoto,36.25149,137.9778,0.097271487,0.20453340
20201001 06:00,6.00000,DRAGON_Mt_Krigamine,36.09806,138.1683,0.12208751,0.15538245
20201001 06:00,6.00000,DRAGON_Omachi,36.50300,137.8514,0.087039292,0.15074229
20201001 06:00,6.00000,DRAGON_Takayama,36.25270,137.3045,0.088391401,0.23056709
20201001 06:00,6.00000,Davos,46.81292,9.843800,0.090103813,0.16973243
20201001 06:00,6.00000,Dushanbe,38.55326,68.85791,0.099805072,0.18149919
20201001 06:00,6.00000,EPA-NCU,24.96753,121.1855,0.17593281,0.15522970
20201001 06:00,6.00000,Ersa,43.00367,9.359289,0.16750808,0.11605212
20201001 06:00,6.00000,Finokalia-FKL,35.33771,25.66976,0.15937105,0.14140648
20201001 06:00,6.00000,Fukue,32.75200,128.6820,0.19518147,0.14060661
20201001 06:00,6.00000,Fukuoka,33.52400,130.4750,0.15496716,0.20437514
20201001 06:00,6.00000,Gobabeb,-23.56162,15.04106,0.11722237,0.16104314
20201001 06:00,6.00000,Gozo,36.03414,14.26469,0.30016956,0.22590870
20201001 06:00,6.00000,HESS,-23.27300,16.50294,0.071902521,0.047372618
20201001 06:00,6.00000,HohenpeissenbergDWD,47.80190,11.01190,0.18844017,0.12294757
20201001 06:00,6.00000,Hong_Kong_Sheung,22.48330,114.1166,0.51908946,0.23169717
20201001 06:00,6.00000,KAUST_Campus,22.30483,39.10283,0.68201500,0.78100888
20201001 06:00,6.00000,Kanpur,26.51278,80.23164,0.59341264,0.45625804
20201001 06:00,6.00000,Kanzelhohe_Obs,46.67800,13.90700,0.10725976,0.081354561
20201001 06:00,6.00000,Karachi,24.87000,67.03000,0.74419850,0.58136724
