#filetype=fc_ob_pairs
#mode=aod
#fieldpair_label=nolabel
#fieldpair_title=
#fieldpair_units=
#ob_field_used=AOT-675nm
#fc_field_used=aod675
#ob_source=aeronet_1.5
#ob_wavelength=675
#fc_wavelength=675
#fc_expid=mc0074
#fc_composite=
#fc_startdate=2020-11-01 00:00:00
#fc_enddate=2020-11-30 00:00:00
#fc_start_hrs=00
#fc_ranges=3,6,9,12,15,18,21,24
#fc_range_premeaning_bins=n/a
#fc_ranges_postaverage=3,6,9,12,15,18,21,24
#fc_startdate_actual=2020-11-01 00:00:00
#fc_enddate_actual=2020-11-30 00:00:00
#fc_start_hrs_actual=00
#fc_ranges_actual=3,6,9,12,15,18,21,24
#fc_dayskip=0
#fc_refdate=n/a
#fc_ranges_remapped=0
#premeaning_period=0
#sites=<ALL_WITH_DATA>
#sites_actual=ARM_Graciosa,ARM_SGP,ASI_Malindi,ATHENS-NOA,Adelaide_Site_7,AgiaMarina_Xyliatou,Alta_Floresta,Amazon_ATTO_Tower,American_Samoa,Ames,Amity_Univ_Gurgaon,Amsterdam_Island,Anmyon,Appalachian_State,Aras_de_los_Olmos,Arcachon,Aubiere_LAMP,BMKG_Jakarta,BONDVILLE,Badajoz,Bakersfield,Bandung,Bangkok,Banizoumbou,Barcelona,Bayfordbury,Beijing,Beijing-CAMS,Beijing_RADI,Belsk,Berlin_FUB,Bhola,Bidur,Billerica,Birkenes,Brest_MF,Brookhaven,Brussels,Bukit_Kototabang,Bure_OPE,Burjassot,CARTEL,CATUC_Bamenda,CCNY,CEILAP-BA,CEILAP-Comodoro,CEILAP-Neuquen,CEILAP-RG,CUIABA-MIRANDA,CUT-TEPAK,Cabauw,Cabo_da_Roca,Cachoeira_Paulista,CalTech,Camborne_MO,Campus_USACH,Cape_Fuguei_Station,Cape_San_Juan,Capo_Verde,Cascade_Airport,Catalina,Chapais,Chiang_Mai_Met_Sta,Chiba_University,Chilbolton,Coruna,Croisic_UTLN,DRAGON_Hakuba,DRAGON_Iida,DRAGON_Ina,DRAGON_Kofu,DRAGON_Matsumoto,DRAGON_Minowa,DRAGON_Mt_Krigamine,DRAGON_Omachi,DRAGON_Suwa,DRAGON_Takayama,Dakar_Belair,Dalanzadgad,Davos,Dayton,Debrzyna_PULS,Denver_LaCasa,Dhaka_University,Dibrugarh_Univ,Doi_Ang_Khang,Douliu,Dunkerque,Durban_UKZN,Dushanbe,EPA-NCU,EPA-Res_Triangle_Pk,ETNA_VENA,EastMalling_MO,Egbert,El_Arenosillo,Erlin,Ersa,Escudero_Station,Evora,FZJ-JOYCE,Finokalia-FKL,Fort_McKay,Fort_McMurray,Fresno_2,Fukue,Fukuoka,GSFC,Gandhi_College,Gangneung_WNU,Georgia_Tech,Girardota_Colombia,Glasgow_MO,Gobabeb,Goldstone,Gosan_NIMS_SNU,Gozo,Granada,Grand_Forks,Granite_Island,Guadeloup,Gwangju_GIST,HESS,Halifax,Hampton_University,Hankuk_UFS,Helsinki,HohenpeissenbergDWD,Hong_Kong_PolyU,Hong_Kong_Sheung,Huancayo-IGP,Hyytiala,IER_Cinzana,IMPROVE-MammothCave,Ilorin,Izana,Jaipur,Jambi,Ji_Parana_SE,KAUST_Campus,Kanpur,Kanzelhohe_Obs,Kaohsiung,Karachi,Karlsruhe,Kellogg_LTER,Kluane_Lake,Koforidua_ANUC,Kuching,Kuwait_University,Kyiv,Kyiv-AO,LAMTO-STATION,La_Jolla,La_Laguna,La_Parguera,La_Paz,Lamezia_Terme,Lampedusa,Lecce_University,Leipzig,Lerwick_MO,Lille,Los_Alamos,Lubango,Lulin,MCO-Hanimaadhoo,MD_Science_Center,Madrid,Magurele_Inoe,Maido_OPAR,Mainz,Majadas,Maldives_Gan,Mandalay_MTU,Manila_Observatory,Masdar_Institute,Maun_Tower,Medellin,Meridian_DEQ,MetObs_Lindenberg,Metsi,Mezaira,Migal,Mingo,Minsk,Misamfu,Missoula,Modena,Mongu_Inn,Monterey,Montevideo_FING,Munich_University,Murcia,NASA_Ames,NASA_KSC,NASA_LaRC,ND_Marbel_Univ,NEON-CPER,NEON-Disney,NEON_Bartlett,NEON_CLBJ,NEON_CVALLA,NEON_GRSM,NEON_GUAN,NEON_Harvard,NEON_KONZ,NEON_LENO,NEON_MLBS,NEON_MOAB,NEON_NIWO,NEON_NOGP,NEON_OAES,NEON_ONAQ,NEON_ORNL,NEON_OSBS,NEON_PUUM,NEON_RMNP,NEON_SCBI,NEON_SERC,NEON_SJER,NEON_SRER,NEON_Sterling,NEON_TALL,NEON_TEAK,NEON_UKFS,NEON_UNDE,NEON_WOOD,NEON_WREF,NEON_YELL,NSPO_Taiwan,Namibe,Napoli_CeSMA,Narsarsuaq,Niassa,Nicosia,Niigata,Nong_Khai,Noto,OHP_OBSERVATOIRE,Osaka,PNNL,Palaiseau,Palangkaraya,Palencia,Palma_de_Mallorca,Paris,Pickle_Lake,Pilar_Cordoba,Pokhara,Pontianak,Poprad-Ganovce,Pretoria_CSIR-EC,Pune,Punta_Arenas_UMAG,QOMS_CAS,Quito_USFQ,REUNION_ST_DENIS,Raciborz,Ragged_Point,Railroad_Valley,Rame_Head,Red_Mountain_Pass,Rexburg_Idaho,Rhyl_MO,Rimrock,Rio_Branco,Rome_La_Sapienza,Rome_Tor_Vergata,Roque_Muchachos,SANTA_CRUZ_UTEPSA,SEDE_BOKER,SEGC_Lope_Gabon,SERC,SP-EACH,SP_Bayboro,Saada,Sakeji_School,Salton_Sea,San_Cristobal_USFQ,Santa_Cruz_Tenerife,Santa_Monica_Colg,Santiago_Beauchef,Santiago_Beauchef_2,Sao_Paulo,Saturn_Island,Seoul_SNU,Sevilleta,Silpakorn_Univ,Simonstown_IMT,Singapore,Sioux_Falls,Skukuza,Sofia_IEBAS,Songkhla_Met_Sta,Sorong,South_Pole_Obs_NOAA,Sra_Kaeo,St_Helena,St_Louis_University,Stornoway_MO,Strzyzow,Tabernas_PSA-DLR,Taipei_CWB,Tallahassee,Tamanrasset_INM,Taylor_Ranch_TWRS,Teide,Tel-Aviv_University,Thessaloniki,Timisoara,Toravere,Toronto,Toulon,Toulouse_MF,Trelew,Tucson,Tudor_Hill,Tumbarumba,UCSB,UEM_Maputo,UNC-Palmira,UPC-GEAB-Valledupar,USDA_ALARC,USGS_Flagstaff_ROLO,U_of_Wisconsin_SSEC,Ubon_Ratchathani,Univ_of_Auckland,Univ_of_Houston,Univ_of_Nevada-Reno,Upington,Valladolid,Vienna_BOKU,Vienna_UNIVIE,VirginiaTech,Warsaw_UW,Weizmann_Institute,White_Sands_HELSTF,Windpoort,Xitun,Yakutsk,Yonsei_University,Yuma,Zaragoza,Zinder_Airport,Zugspitze_KIT
#nsites_actual=346
#area_shortname=global
#area_title=Global
#area=-90,-180,90,180
#missing_data_indicator=-9999
#source_dir=/home/na/nal/ver0D/9.6
#site_weighting=none
#voronoi_maxr=n/a
#column_titles=validity_time,forecast_range,site_id,lat,lon,fc,ob
20201101 03:00,3.00000,Amity_Univ_Gurgaon,28.31733,76.91603,0.21535336,0.52115591
20201101 03:00,3.00000,Bandung,-6.888417,107.6100,0.20228248,0.21578500
20201101 03:00,3.00000,Beijing,39.97689,116.3814,0.14656884,0.062551749
20201101 03:00,3.00000,Beijing-CAMS,39.93333,116.3167,0.14900663,0.067365800
20201101 03:00,3.00000,Bidur,27.89550,85.14010,0.12055303,0.074911658
20201101 03:00,3.00000,Bukit_Kototabang,-0.2019400,100.3180,0.14214109,0.11533032
20201101 03:00,3.00000,Cape_Fuguei_Station,25.29745,121.5379,0.17807641,0.11263389
20201101 03:00,3.00000,DRAGON_Iida,35.51654,137.8422,0.082349075,0.11706536
20201101 03:00,3.00000,DRAGON_Ina,35.84763,137.9612,0.087871757,0.14220699
20201101 03:00,3.00000,DRAGON_Kofu,35.67882,138.5715,0.064124370,0.10550022
20201101 03:00,3.00000,DRAGON_Minowa,35.91496,137.9807,0.090084424,0.11521600
20201101 03:00,3.00000,DRAGON_Mt_Krigamine,36.09806,138.1683,0.090263535,0.13784825
20201101 03:00,3.00000,DRAGON_Suwa,36.04555,138.1087,0.090127208,0.11962300
20201101 03:00,3.00000,Dalanzadgad,43.57722,104.4192,0.10288814,0.069418970
20201101 03:00,3.00000,Douliu,23.71170,120.5448,0.24851915,0.45200851
20201101 03:00,3.00000,Dushanbe,38.55326,68.85791,0.087034258,0.097976093
20201101 03:00,3.00000,EPA-NCU,24.96753,121.1855,0.12042105,0.079036452
20201101 03:00,3.00000,Erlin,23.92530,120.4096,0.31121889,0.55949290
20201101 03:00,3.00000,Fukue,32.75200,128.6820,0.15176735,0.15653773
20201101 03:00,3.00000,Fukuoka,33.52400,130.4750,0.15717276,0.11344536
20201101 03:00,3.00000,Gandhi_College,25.87100,84.12794,0.34209474,0.35708486
20201101 03:00,3.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.12249371,0.082591089
20201101 03:00,3.00000,Hong_Kong_Sheung,22.48330,114.1166,0.33996736,0.30116946
20201101 03:00,3.00000,Kanpur,26.51278,80.23164,0.54125365,0.61966910
20201101 03:00,3.00000,Karachi,24.87000,67.03000,0.37103741,0.35725119
20201101 03:00,3.00000,Kuwait_University,29.32500,47.97100,0.26409293,0.22558523
20201101 03:00,3.00000,Lulin,23.46861,120.8736,0.054928795,0.027471991
20201101 03:00,3.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.33064877,0.60503648
20201101 03:00,3.00000,Maido_OPAR,-21.07985,55.38309,0.070549226,0.013955219
20201101 03:00,3.00000,Maldives_Gan,-0.6905000,73.15000,0.083578998,0.11029020
20201101 03:00,3.00000,NSPO_Taiwan,24.78399,121.0011,0.11839395,0.15613580
20201101 03:00,3.00000,Nong_Khai,17.87720,102.7167,0.13981878,0.037561273
20201101 03:00,3.00000,Osaka,34.65093,135.5906,0.21744547,0.13756395
20201101 03:00,3.00000,QOMS_CAS,28.36500,86.94806,0.045357208,0.020647812
20201101 03:00,3.00000,Singapore,1.297667,103.7804,0.26246353,0.24456521
20201101 03:00,3.00000,Songkhla_Met_Sta,7.184387,100.6046,0.28189926,0.28331354
20201101 03:00,3.00000,Tumbarumba,-35.70830,147.9499,0.075820331,0.093895948
20201101 03:00,3.00000,Ubon_Ratchathani,15.24552,104.8710,0.067221674,0.11069047
20201101 03:00,3.00000,Univ_of_Auckland,-36.85262,174.7681,0.11840931,0.077325001
20201101 06:00,6.00000,ASI_Malindi,-2.996000,40.19450,0.11329758,0.10553357
20201101 06:00,6.00000,AgiaMarina_Xyliatou,35.03800,33.05770,0.088500832,0.17297561
20201101 06:00,6.00000,Amity_Univ_Gurgaon,28.31733,76.91603,0.23483862,0.43636084
20201101 06:00,6.00000,Banizoumbou,13.54117,2.664750,0.10668457,0.32846525
20201101 06:00,6.00000,Beijing,39.97689,116.3814,0.098119186,0.11420413
20201101 06:00,6.00000,Beijing-CAMS,39.93333,116.3167,0.10097511,0.11971778
20201101 06:00,6.00000,Bidur,27.89550,85.14010,0.14778639,0.065671662
20201101 06:00,6.00000,Bukit_Kototabang,-0.2019400,100.3180,0.17702063,0.081518002
20201101 06:00,6.00000,CUT-TEPAK,34.67480,33.04275,0.12137568,0.18926903
20201101 06:00,6.00000,Cape_Fuguei_Station,25.29745,121.5379,0.17010449,0.13498735
20201101 06:00,6.00000,Dalanzadgad,43.57722,104.4192,0.10106822,0.059649957
20201101 06:00,6.00000,Douliu,23.71170,120.5448,0.32039744,0.45390126
20201101 06:00,6.00000,Dushanbe,38.55326,68.85791,0.079160667,0.17063665
20201101 06:00,6.00000,EPA-NCU,24.96753,121.1855,0.12484594,0.097873724
20201101 06:00,6.00000,Erlin,23.92530,120.4096,0.36013445,0.29933479
20201101 06:00,6.00000,Fukuoka,33.52400,130.4750,0.22205067,0.10864895
20201101 06:00,6.00000,Gandhi_College,25.87100,84.12794,0.38351982,0.46062445
20201101 06:00,6.00000,Gobabeb,-23.56162,15.04106,0.10608342,0.079882606
20201101 06:00,6.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.13348529,0.096463149
20201101 06:00,6.00000,Gozo,36.03414,14.26469,0.041942961,0.031452575
20201101 06:00,6.00000,HESS,-23.27300,16.50294,0.094034804,0.046671017
20201101 06:00,6.00000,Hong_Kong_Sheung,22.48330,114.1166,0.36347285,0.36089999
20201101 06:00,6.00000,Ilorin,8.320000,4.340000,0.33393867,0.67203515
20201101 06:00,6.00000,KAUST_Campus,22.30483,39.10283,0.41683587,0.33348484
20201101 06:00,6.00000,Kanpur,26.51278,80.23164,0.44004061,0.69070750
20201101 06:00,6.00000,Kanzelhohe_Obs,46.67800,13.90700,0.078330920,0.082096003
20201101 06:00,6.00000,Kuwait_University,29.32500,47.97100,0.27617245,0.20949916
20201101 06:00,6.00000,Lampedusa,35.51667,12.63167,0.043612174,0.041374876
20201101 06:00,6.00000,Lulin,23.46861,120.8736,0.096690767,0.028591516
20201101 06:00,6.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.32317968,0.53346706
20201101 06:00,6.00000,Magurele_Inoe,44.34829,26.03070,0.070073856,0.032391227
20201101 06:00,6.00000,Maido_OPAR,-21.07985,55.38309,0.082440365,0.015007320
20201101 06:00,6.00000,Maldives_Gan,-0.6905000,73.15000,0.073187382,0.21723925
20201101 06:00,6.00000,Mandalay_MTU,21.97290,96.18613,0.23711058,0.093805469
20201101 06:00,6.00000,Maun_Tower,-19.90000,23.55000,0.23289593,0.35521740
20201101 06:00,6.00000,Mezaira,23.14500,53.77861,0.17729888,0.13166281
20201101 06:00,6.00000,Misamfu,-10.17120,31.22410,0.21686014,0.22754815
20201101 06:00,6.00000,Mongu_Inn,-15.26667,23.13433,0.11919165,0.22154911
20201101 06:00,6.00000,NSPO_Taiwan,24.78399,121.0011,0.14073109,0.21104001
20201101 06:00,6.00000,Nicosia,35.14063,33.38135,0.10177050,0.17383447
