#filetype=fc_ob_pairs
#mode=aod
#fieldpair_label=nolabel
#fieldpair_title=
#fieldpair_units=
#ob_field_used=AOT-500nm
#fc_field_used=aod500
#ob_source=aeronet_1.5
#ob_wavelength=500
#fc_wavelength=500
#fc_expid=oper
#fc_composite=
#fc_startdate=2020-11-01 00:00:00
#fc_enddate=2020-11-30 00:00:00
#fc_start_hrs=00
#fc_ranges=3,6,9,12,15,18,21,24
#fc_range_premeaning_bins=n/a
#fc_ranges_postaverage=3,6,9,12,15,18,21,24
#fc_startdate_actual=2020-11-01 00:00:00
#fc_enddate_actual=2020-11-30 00:00:00
#fc_start_hrs_actual=00
#fc_ranges_actual=3,6,9,12,15,18,21,24
#fc_dayskip=0
#fc_refdate=n/a
#fc_ranges_remapped=0
#premeaning_period=0
#sites=<ALL_WITH_DATA>
#sites_actual=ARM_Graciosa,ARM_SGP,ASI_Malindi,ATHENS-NOA,Adelaide_Site_7,AgiaMarina_Xyliatou,Alta_Floresta,Amazon_ATTO_Tower,American_Samoa,Ames,Amity_Univ_Gurgaon,Amsterdam_Island,Anmyon,Appalachian_State,Aras_de_los_Olmos,Arcachon,Aubiere_LAMP,BMKG_Jakarta,BONDVILLE,Badajoz,Bakersfield,Bandung,Bangkok,Bayfordbury,Beijing,Beijing-CAMS,Beijing_RADI,Belsk,Berlin_FUB,Bhola,Bidur,Billerica,Birkenes,Brest_MF,Brookhaven,Brussels,Bukit_Kototabang,Bure_OPE,Burjassot,CARTEL,CATUC_Bamenda,CCNY,CEILAP-BA,CEILAP-Comodoro,CEILAP-Neuquen,CEILAP-RG,CUIABA-MIRANDA,CUT-TEPAK,Cabauw,Cabo_da_Roca,Cachoeira_Paulista,CalTech,Camborne_MO,Campus_USACH,Cape_Fuguei_Station,Cape_San_Juan,Capo_Verde,Cascade_Airport,Catalina,Chapais,Chiang_Mai_Met_Sta,Chiba_University,Chilbolton,Coruna,Croisic_UTLN,DRAGON_Hakuba,DRAGON_Iida,DRAGON_Ina,DRAGON_Kofu,DRAGON_Matsumoto,DRAGON_Minowa,DRAGON_Mt_Krigamine,DRAGON_Omachi,DRAGON_Suwa,DRAGON_Takayama,Dakar_Belair,Dalanzadgad,Davos,Dayton,Debrzyna_PULS,Denver_LaCasa,Dhaka_University,Dibrugarh_Univ,Doi_Ang_Khang,Douliu,Dunkerque,Durban_UKZN,Dushanbe,EPA-NCU,EPA-Res_Triangle_Pk,ETNA_VENA,EastMalling_MO,Egbert,El_Arenosillo,Erlin,Ersa,Escudero_Station,Evora,FZJ-JOYCE,Finokalia-FKL,Fort_McKay,Fort_McMurray,Fresno_2,Fukue,Fukuoka,GSFC,Gandhi_College,Gangneung_WNU,Georgia_Tech,Girardota_Colombia,Glasgow_MO,Gobabeb,Goldstone,Gosan_NIMS_SNU,Gozo,Granada,Grand_Forks,Granite_Island,Guadeloup,Gwangju_GIST,HESS,Halifax,Hampton_University,Hankuk_UFS,Helsinki,HohenpeissenbergDWD,Hong_Kong_PolyU,Hong_Kong_Sheung,Huancayo-IGP,Hyytiala,IMPROVE-MammothCave,Ilorin,Izana,Jaipur,Jambi,Ji_Parana_SE,KAUST_Campus,Kanpur,Kanzelhohe_Obs,Kaohsiung,Karachi,Karlsruhe,Kellogg_LTER,Kluane_Lake,Koforidua_ANUC,Kuching,Kuwait_University,Kyiv,La_Jolla,La_Laguna,La_Parguera,La_Paz,Lamezia_Terme,Lampedusa,Lecce_University,Leipzig,Lerwick_MO,Lille,Los_Alamos,Lubango,Lulin,MCO-Hanimaadhoo,MD_Science_Center,Madrid,Magurele_Inoe,Maido_OPAR,Mainz,Majadas,Maldives_Gan,Mandalay_MTU,Manila_Observatory,Masdar_Institute,Maun_Tower,Medellin,Meridian_DEQ,MetObs_Lindenberg,Metsi,Mezaira,Migal,Mingo,Minsk,Misamfu,Missoula,Modena,Mongu_Inn,Monterey,Montevideo_FING,Munich_University,Murcia,NASA_Ames,NASA_KSC,NASA_LaRC,ND_Marbel_Univ,NEON-CPER,NEON-Disney,NEON_Bartlett,NEON_CLBJ,NEON_CVALLA,NEON_GRSM,NEON_GUAN,NEON_Harvard,NEON_KONZ,NEON_LENO,NEON_MLBS,NEON_MOAB,NEON_NIWO,NEON_NOGP,NEON_OAES,NEON_ONAQ,NEON_ORNL,NEON_OSBS,NEON_PUUM,NEON_RMNP,NEON_SCBI,NEON_SERC,NEON_SJER,NEON_SRER,NEON_Sterling,NEON_TALL,NEON_TEAK,NEON_UKFS,NEON_UNDE,NEON_WOOD,NEON_WREF,NEON_YELL,NSPO_Taiwan,Namibe,Napoli_CeSMA,Narsarsuaq,Niassa,Nicosia,Niigata,Nong_Khai,Noto,OHP_OBSERVATOIRE,Osaka,PNNL,Palaiseau,Palangkaraya,Palencia,Palma_de_Mallorca,Paris,Pickle_Lake,Pilar_Cordoba,Pokhara,Pontianak,Poprad-Ganovce,Pretoria_CSIR-EC,Punta_Arenas_UMAG,QOMS_CAS,Quito_USFQ,REUNION_ST_DENIS,Raciborz,Ragged_Point,Railroad_Valley,Rame_Head,Red_Mountain_Pass,Rexburg_Idaho,Rhyl_MO,Rimrock,Rio_Branco,Rome_La_Sapienza,Rome_Tor_Vergata,Roque_Muchachos,SANTA_CRUZ_UTEPSA,SEDE_BOKER,SEGC_Lope_Gabon,SERC,SP-EACH,SP_Bayboro,Saada,Sakeji_School,Salton_Sea,San_Cristobal_USFQ,Santa_Cruz_Tenerife,Santa_Monica_Colg,Santiago_Beauchef,Santiago_Beauchef_2,Sao_Paulo,Saturn_Island,Seoul_SNU,Sevilleta,Silpakorn_Univ,Simonstown_IMT,Singapore,Sioux_Falls,Skukuza,Sofia_IEBAS,Songkhla_Met_Sta,Sorong,South_Pole_Obs_NOAA,Sra_Kaeo,St_Helena,St_Louis_University,Stornoway_MO,Strzyzow,Tabernas_PSA-DLR,Taipei_CWB,Tallahassee,Tamanrasset_INM,Taylor_Ranch_TWRS,Teide,Tel-Aviv_University,Thessaloniki,Timisoara,Toravere,Toronto,Toulon,Toulouse_MF,Trelew,Tucson,Tudor_Hill,Tumbarumba,UCSB,UEM_Maputo,UNC-Palmira,UPC-GEAB-Valledupar,USDA_ALARC,USGS_Flagstaff_ROLO,U_of_Wisconsin_SSEC,Ubon_Ratchathani,Univ_of_Auckland,Univ_of_Houston,Univ_of_Nevada-Reno,Upington,Valladolid,Vienna_BOKU,Vienna_UNIVIE,VirginiaTech,Warsaw_UW,Weizmann_Institute,White_Sands_HELSTF,Windpoort,Xitun,Yakutsk,Yonsei_University,Yuma,Zaragoza,Zugspitze_KIT
#nsites_actual=339
#area_shortname=global
#area_title=Global
#area=-90,-180,90,180
#missing_data_indicator=-9999
#source_dir=/home/na/nal/ver0D/9.6
#site_weighting=none
#voronoi_maxr=n/a
#column_titles=validity_time,forecast_range,site_id,lat,lon,fc,ob
20201101 03:00,3.00000,Amity_Univ_Gurgaon,28.31733,76.91603,0.34182173,0.79352830
20201101 03:00,3.00000,Bandung,-6.888417,107.6100,0.34583727,0.30181801
20201101 03:00,3.00000,Beijing,39.97689,116.3814,0.17293487,0.076319695
20201101 03:00,3.00000,Beijing-CAMS,39.93333,116.3167,0.17533803,0.082910524
20201101 03:00,3.00000,Bidur,27.89550,85.14010,0.19905895,0.11315923
20201101 03:00,3.00000,Bukit_Kototabang,-0.2019400,100.3180,0.19187053,0.13202538
20201101 03:00,3.00000,Cape_Fuguei_Station,25.29745,121.5379,0.23685470,0.13957672
20201101 03:00,3.00000,DRAGON_Iida,35.51654,137.8422,0.13011333,0.15940490
20201101 03:00,3.00000,DRAGON_Ina,35.84763,137.9612,0.13469008,0.18843403
20201101 03:00,3.00000,DRAGON_Kofu,35.67882,138.5715,0.098365366,0.15381310
20201101 03:00,3.00000,DRAGON_Minowa,35.91496,137.9807,0.13638817,0.16120300
20201101 03:00,3.00000,DRAGON_Mt_Krigamine,36.09806,138.1683,0.13125588,0.18145980
20201101 03:00,3.00000,DRAGON_Suwa,36.04555,138.1087,0.13252825,0.15790600
20201101 03:00,3.00000,Dalanzadgad,43.57722,104.4192,0.13231987,0.092606373
20201101 03:00,3.00000,Douliu,23.71170,120.5448,0.32903001,0.63482776
20201101 03:00,3.00000,Dushanbe,38.55326,68.85791,0.23193906,0.15191290
20201101 03:00,3.00000,EPA-NCU,24.96753,121.1855,0.17288633,0.10776348
20201101 03:00,3.00000,Erlin,23.92530,120.4096,0.42137465,0.77435158
20201101 03:00,3.00000,Fukue,32.75200,128.6820,0.24008560,0.24716932
20201101 03:00,3.00000,Fukuoka,33.52400,130.4750,0.25146261,0.16931829
20201101 03:00,3.00000,Gandhi_College,25.87100,84.12794,0.52406311,0.53750050
20201101 03:00,3.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.17117433,0.11489631
20201101 03:00,3.00000,Hong_Kong_Sheung,22.48330,114.1166,0.52258652,0.45238560
20201101 03:00,3.00000,Kanpur,26.51278,80.23164,0.93938375,0.91404837
20201101 03:00,3.00000,Karachi,24.87000,67.03000,0.60806620,0.47038984
20201101 03:00,3.00000,Kuwait_University,29.32500,47.97100,0.41599542,0.35658423
20201101 03:00,3.00000,Lulin,23.46861,120.8736,0.072890088,0.062881111
20201101 03:00,3.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.43723547,0.88922520
20201101 03:00,3.00000,Maido_OPAR,-21.07985,55.38309,0.10226326,0.027554359
20201101 03:00,3.00000,Maldives_Gan,-0.6905000,73.15000,0.10795975,0.12771635
20201101 03:00,3.00000,NSPO_Taiwan,24.78399,121.0011,0.16761057,0.22538823
20201101 03:00,3.00000,Nong_Khai,17.87720,102.7167,0.18941599,0.063007094
20201101 03:00,3.00000,Osaka,34.65093,135.5906,0.31776544,0.20188311
20201101 03:00,3.00000,QOMS_CAS,28.36500,86.94806,0.068888105,0.041801663
20201101 03:00,3.00000,Singapore,1.297667,103.7804,0.41306311,0.34091969
20201101 03:00,3.00000,Songkhla_Met_Sta,7.184387,100.6046,0.42659226,0.31895076
20201101 03:00,3.00000,Tumbarumba,-35.70830,147.9499,0.11985773,0.11299593
20201101 03:00,3.00000,Ubon_Ratchathani,15.24552,104.8710,0.097931348,0.13247757
20201101 03:00,3.00000,Univ_of_Auckland,-36.85262,174.7681,0.17760283,0.098687999
20201101 06:00,6.00000,ASI_Malindi,-2.996000,40.19450,0.16084380,0.12840274
20201101 06:00,6.00000,AgiaMarina_Xyliatou,35.03800,33.05770,0.13060145,0.25931837
20201101 06:00,6.00000,Amity_Univ_Gurgaon,28.31733,76.91603,0.37337506,0.63568675
20201101 06:00,6.00000,Beijing,39.97689,116.3814,0.13413857,0.13683934
20201101 06:00,6.00000,Beijing-CAMS,39.93333,116.3167,0.13730992,0.14525847
20201101 06:00,6.00000,Bidur,27.89550,85.14010,0.24562323,0.10043323
20201101 06:00,6.00000,Bukit_Kototabang,-0.2019400,100.3180,0.21985647,0.10241100
20201101 06:00,6.00000,CUT-TEPAK,34.67480,33.04275,0.17245044,0.29091910
20201101 06:00,6.00000,Cape_Fuguei_Station,25.29745,121.5379,0.23982298,0.16213313
20201101 06:00,6.00000,Dalanzadgad,43.57722,104.4192,0.13480821,0.079522414
20201101 06:00,6.00000,Douliu,23.71170,120.5448,0.48224762,0.69072264
20201101 06:00,6.00000,Dushanbe,38.55326,68.85791,0.21063572,0.25564786
20201101 06:00,6.00000,EPA-NCU,24.96753,121.1855,0.17917006,0.13092687
20201101 06:00,6.00000,Erlin,23.92530,120.4096,0.53740513,0.44500984
20201101 06:00,6.00000,Fukuoka,33.52400,130.4750,0.31337255,0.15858242
20201101 06:00,6.00000,Gandhi_College,25.87100,84.12794,0.62513626,0.69028632
20201101 06:00,6.00000,Gobabeb,-23.56162,15.04106,0.14813343,0.088207118
20201101 06:00,6.00000,Gosan_NIMS_SNU,33.30010,126.2058,0.19376901,0.12771229
20201101 06:00,6.00000,Gozo,36.03414,14.26469,0.060456678,0.048538165
20201101 06:00,6.00000,HESS,-23.27300,16.50294,0.14234129,0.068491555
20201101 06:00,6.00000,Hong_Kong_Sheung,22.48330,114.1166,0.56443107,0.55495778
20201101 06:00,6.00000,Ilorin,8.320000,4.340000,0.41159144,0.75692422
20201101 06:00,6.00000,KAUST_Campus,22.30483,39.10283,0.58969045,0.51426945
20201101 06:00,6.00000,Kanpur,26.51278,80.23164,0.70674521,1.0203838
20201101 06:00,6.00000,Kanzelhohe_Obs,46.67800,13.90700,0.12826833,0.094958000
20201101 06:00,6.00000,Kuwait_University,29.32500,47.97100,0.43361321,0.32743835
20201101 06:00,6.00000,Lampedusa,35.51667,12.63167,0.056974366,0.059872082
20201101 06:00,6.00000,Lulin,23.46861,120.8736,0.13533497,0.061930042
20201101 06:00,6.00000,MCO-Hanimaadhoo,6.776350,73.18318,0.41429546,0.77629275
20201101 06:00,6.00000,Magurele_Inoe,44.34829,26.03070,0.11097291,0.056527663
20201101 06:00,6.00000,Maido_OPAR,-21.07985,55.38309,0.12208092,0.028296677
20201101 06:00,6.00000,Maldives_Gan,-0.6905000,73.15000,0.091203876,0.23168543
20201101 06:00,6.00000,Mandalay_MTU,21.97290,96.18613,0.37351754,0.15742145
20201101 06:00,6.00000,Maun_Tower,-19.90000,23.55000,0.33751526,0.60121465
20201101 06:00,6.00000,Mezaira,23.14500,53.77861,0.27860677,0.20365109
20201101 06:00,6.00000,Misamfu,-10.17120,31.22410,0.32386050,0.39440979
20201101 06:00,6.00000,Mongu_Inn,-15.26667,23.13433,0.18498181,0.37846111
20201101 06:00,6.00000,NSPO_Taiwan,24.78399,121.0011,0.20461741,0.30915800
20201101 06:00,6.00000,Nicosia,35.14063,33.38135,0.14510892,0.26592859
